nohup: ignoring input
Detected GPUs: 1 GPU(s)
 - NVIDIA GeForce RTX 4090
[Info] No previous replay or train_state found, start from scratch.
[EP 1] Buffer=659, T=1.00, Loss=5.1474, Policy Loss=3.2301, Value Loss=1.0160
[EP 2] Buffer=1386, T=1.00, Loss=5.1218, Policy Loss=3.2183, Value Loss=1.0038
[EP 3] Buffer=2035, T=1.00, Loss=5.1138, Policy Loss=3.2171, Value Loss=0.9992
[EP 4] Buffer=2806, T=1.00, Loss=5.1115, Policy Loss=3.2157, Value Loss=1.0009
[EP 5] Buffer=3567, T=1.00, Loss=5.1070, Policy Loss=3.2151, Value Loss=0.9997
[EP 6] Buffer=4211, T=1.00, Loss=5.1046, Policy Loss=3.2149, Value Loss=1.0004
[EP 7] Buffer=4818, T=1.00, Loss=5.1011, Policy Loss=3.2146, Value Loss=1.0002
[EP 8] Buffer=5552, T=0.99, Loss=5.0923, Policy Loss=3.2132, Value Loss=0.9959
[EP 9] Buffer=6178, T=0.99, Loss=5.0913, Policy Loss=3.2139, Value Loss=0.9975
[EP 10] Buffer=7027, T=0.99, Loss=5.0915, Policy Loss=3.2132, Value Loss=1.0016
[EP 11] Buffer=7638, T=0.99, Loss=5.0826, Policy Loss=3.2131, Value Loss=0.9962
[EP 12] Buffer=8347, T=0.99, Loss=5.0789, Policy Loss=3.2139, Value Loss=0.9950
[EP 13] Buffer=9028, T=0.99, Loss=5.0784, Policy Loss=3.2139, Value Loss=0.9980
[EP 14] Buffer=9707, T=0.99, Loss=5.0702, Policy Loss=3.2143, Value Loss=0.9929
[EP 15] Buffer=10413, T=0.99, Loss=5.0691, Policy Loss=3.2140, Value Loss=0.9956
[EP 16] Buffer=11111, T=0.99, Loss=5.0649, Policy Loss=3.2140, Value Loss=0.9951
[EP 17] Buffer=11718, T=0.99, Loss=5.0554, Policy Loss=3.2138, Value Loss=0.9894
[EP 18] Buffer=12394, T=0.99, Loss=5.0560, Policy Loss=3.2140, Value Loss=0.9933
[EP 19] Buffer=13086, T=0.99, Loss=5.0479, Policy Loss=3.2139, Value Loss=0.9891
[EP 20] Buffer=13703, T=0.98, Loss=5.0380, Policy Loss=3.2143, Value Loss=0.9824
[EP 21] Buffer=14243, T=0.98, Loss=5.0475, Policy Loss=3.2143, Value Loss=0.9955
[EP 22] Buffer=14931, T=0.98, Loss=5.0291, Policy Loss=3.2140, Value Loss=0.9811
[EP 23] Buffer=15550, T=0.98, Loss=5.0158, Policy Loss=3.2135, Value Loss=0.9720
[EP 24] Buffer=16183, T=0.98, Loss=4.9991, Policy Loss=3.2139, Value Loss=0.9585
[EP 25] Buffer=16656, T=0.98, Loss=5.0284, Policy Loss=3.2152, Value Loss=0.9901
[EP 26] Buffer=17223, T=0.98, Loss=5.0118, Policy Loss=3.2141, Value Loss=0.9781
[EP 27] Buffer=17930, T=0.98, Loss=4.9895, Policy Loss=3.2131, Value Loss=0.9605
[EP 28] Buffer=18596, T=0.98, Loss=5.0034, Policy Loss=3.2123, Value Loss=0.9788
[EP 29] Buffer=19217, T=0.98, Loss=4.9878, Policy Loss=3.2120, Value Loss=0.9672
[EP 30] Buffer=19788, T=0.98, Loss=4.9657, Policy Loss=3.2121, Value Loss=0.9486
[EP 31] Buffer=20387, T=0.98, Loss=4.9652, Policy Loss=3.2119, Value Loss=0.9520
[EP 32] Buffer=21006, T=0.97, Loss=4.9631, Policy Loss=3.2107, Value Loss=0.9546
